warten; auf; Akk
fragen; nach; Dat
bestehen; aus; Dat
arbeiten; an; Dat
erkennen; an; Dat
erkranken; an; Dat
leiden; an; Dat
sterben; an; Dat
teilnehmen; an; Dat
basieren; auf; Dat
beruhen; auf; Dat
folgern; aus; Dat
sich beschweren; bei; Dat
sich bedanken; bei; Dat
sich entschuldigen; bei; Dat
denken; an; Akk
sich erinnern; an; Akk
sich gewoehnen; an; Akk
glauben; an; Akk
schicken; an; Akk
schreiben; an; Akk
achten; auf; Akk
antworten; auf; Akk
aufpassen; auf; Akk
sich beziehen; auf; Akk
hoffen; auf; Akk
sich verlassen; auf; Akk
verzichten; auf; Akk
sich vorbereiten; auf; Akk
wirken; auf; Akk
zaehlen; auf; Akk
sich begeistern; fuer; Akk
danken; fuer; Akk
belohnen; fuer; Akk
sich entscheiden; fuer; Akk; nimmt auch 'ueber+Akk'
haften; fuer; Akk
sich interessieren; fuer; Akk
sorgen; fuer; Akk
eingreifen; in; Akk
sich einmischen; in; Akk
sich verlieben; in; Akk
sich verwandeln; in; Akk
sich abfinden; mit; Dat; s'accomoder de
anfangen; mit; Dat
aufhoeren; mit; Dat
sich befassen; mit; Dat; traiter un sujet
sich begnuegen; mit; Dat; se contenter de
sich beschaeftigen; mit; s'occuper de
fuellen; mit; Dat
meinen; mit; Dat; vouloir dire
vergleichen; mit; Dat
sich bemuehen; um; Akk
sich bewerben; um; Akk
bitten; um; Akk
es handelt sich; um; Akk
sich kuemmern; um; Akk
sich erkundigen; nach; Dat; se renseigner sur
fragen; nach; Dat
sich sehnen; nach; Dat
suchen; nach; Dat
sich aergern; ueber; Akk
sich aufregen; ueber; Akk; s'enerver contre
sich beklagen; ueber; Akk
sich beschweren; ueber; Akk
berichten; ueber; Akk; faire un rapport sur
diskutieren; ueber; Akk
rechnen; auf; Akk; nimmt auch 'mit+Dat'
